movie_idx,title,user_idx
896,Notorious (1946),0
888,"Deer Hunter, The (1978)",0
505,"Wild Bunch, The (1969)",0
828,Giant (1956),0
673,Paths of Glory (1957),0
436,High Noon (1952),0
463,What Happened Was... (1994),0
1115,"Old Man and the Sea, The (1958)",0
1460,To Be or Not to Be (1942),0
1344,Beat the Devil (1954),0
724,Mad Love (1995),1
79,Outbreak (1995),1
1151,"Candidate, The (1972)",1
973,Rob Roy (1995),1
1083,Farinelli: il castrato (1994),1
472,Nell (1994),1
1003,Cobb (1994),1
1051,"Women, The (1939)",1
162,Assassins (1995),1
1179,When a Man Loves a Woman (1994),1
1069,Antonia's Line (1995),2
59,Angels and Insects (1995),2
94,Taxi Driver (1976),2
534,Welcome to the Dollhouse (1995),2
873,Lone Star (1996),2
571,Apocalypse Now (1979),2
969,Ulee's Gold (1997),2
4,Jackie Brown (1997),2
174,Casablanca (1942),2
460,My Left Foot (1989),2
405,"Hudsucker Proxy, The (1994)",3
866,My Favorite Year (1982),3
518,William Shakespeare's Romeo and Juliet (1996),3
592,Local Hero (1983),3
562,Microcosmos: Le peuple de l'herbe (1996),3
1270,Cronos (1992),3
992,Amateur (1994),3
1111,C'est arrivé près de chez vous (1992),3
1301,Withnail and I (1987),3
1556,"Reluctant Debutante, The (1958)",3
891,Desperate Measures (1998),4
608,"Edge, The (1997)",4
948,Fly Away Home (1996),4
890,"Jackal, The (1997)",4
245,"MatchMaker, The (1997)",4
1405,Switchback (1997),4
1142,"Boys of St. Vincent, The (1993)",4
679,Total Eclipse (1995),4
1351,"Outlaw, The (1943)",4
1677,Mamma Roma (1962),4
186,"Philadelphia Story, The (1940)",5
78,North by Northwest (1959),5
920,"Apartment, The (1960)",5
948,Fly Away Home (1996),5
1168,For Whom the Bell Tolls (1943),5
884,All About Eve (1950),5
1001,Unzipped (1995),5
593,"Little Princess, A (1995)",5
1170,Tetsuo II: Body Hammer (1992),5
1351,"Outlaw, The (1943)",5
371,Swingers (1996),6
288,Brazil (1985),6
512,Secrets & Lies (1996),6
258,Duck Soup (1933),6
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),6
78,North by Northwest (1959),6
241,"Maltese Falcon, The (1941)",6
137,Bonnie and Clyde (1967),6
108,Annie Hall (1977),6
888,"Deer Hunter, The (1978)",6
864,Crimson Tide (1995),7
260,Citizen Kane (1941),7
936,Mr. Smith Goes to Washington (1939),7
275,"Bridge on the River Kwai, The (1957)",7
240,One Flew Over the Cuckoo's Nest (1975),7
186,"Philadelphia Story, The (1940)",7
125,Vertigo (1958),7
78,North by Northwest (1959),7
920,"Apartment, The (1960)",7
241,"Maltese Falcon, The (1941)",7
612,Wallace & Gromit: The Best of Aardman Animation (1996),8
263,When the Cats Away (Chacun cherche son chat) (1996),8
1434,Two Bits (1995),8
1375,Paradise Road (1997),8
410,"Red Firecracker, Green Firecracker (1994)",8
761,"Horse Whisperer, The (1998)",8
1332,Venice/Venice (1992),8
1322,Stonewall (1995),8
1406,"Bewegte Mann, Der (1994)",8
1413,Frankie Starlight (1995),8
36,Rear Window (1954),9
965,Rebecca (1940),9
949,Gigi (1958),9
818,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",9
939,Touch of Evil (1958),9
1047,M (1931),9
660,"Manchurian Candidate, The (1962)",9
914,Gaslight (1944),9
1397,Love in the Afternoon (1957),9
1667,You So Crazy (1994),9
462,Strange Days (1995),10
734,Clerks (1994),10
88,Monty Python's Life of Brian (1979),10
113,"Shining, The (1980)",10
649,Harold and Maude (1971),10
735,Short Cuts (1993),10
333,Shine (1996),10
646,Casino (1995),10
418,Hamlet (1996),10
1372,Cyclo (1995),10
1002,Air Bud (1997),11
627,Steel (1997),11
1181,Deep Rising (1998),11
391,Kull the Conqueror (1997),11
1103,Wishmaster (1997),11
1377,Bent (1997),11
1466,"Lay of the Land, The (1997)",11
1078,Four Days in September (1997),11
1231,Hugo Pool (1997),11
1220,Ayn Rand: A Sense of Life (1997),11
320,Dances with Wolves (1990),12
220,Gone with the Wind (1939),12
22,Die Hard (1988),12
221,"Fish Called Wanda, A (1988)",12
367,Monty Python and the Holy Grail (1974),12
52,Return of the Jedi (1983),12
307,"Blues Brothers, The (1980)",12
34,"Sting, The (1973)",12
506,Unforgiven (1992),12
342,M*A*S*H (1970),12
502,Dead Man Walking (1995),13
49,Fargo (1996),13
275,"Bridge on the River Kwai, The (1957)",13
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),13
355,Trainspotting (1996),13
78,North by Northwest (1959),13
611,Sunset Blvd. (1950),13
242,"People vs. Larry Flynt, The (1996)",13
58,"Boot, Das (1981)",13
601,"American in Paris, An (1951)",13
239,"Shawshank Redemption, The (1994)",14
556,Maverick (1994),14
156,"Fugitive, The (1993)",14
33,Sleepless in Seattle (1993),14
150,"Abyss, The (1989)",14
347,Indiana Jones and the Last Crusade (1989),14
111,In the Name of the Father (1993),14
66,To Kill a Mockingbird (1962),14
629,Glory (1989),14
435,Pretty Woman (1990),14
571,Apocalypse Now (1979),15
730,Raging Bull (1980),15
273,"Graduate, The (1967)",15
91,"African Queen, The (1951)",15
137,Bonnie and Clyde (1967),15
538,Lawrence of Arabia (1962),15
888,"Deer Hunter, The (1978)",15
561,Cool Hand Luke (1967),15
657,Gandhi (1982),15
660,"Manchurian Candidate, The (1962)",15
64,"Brothers McMullen, The (1995)",16
148,Big Night (1996),16
856,Cinema Paradiso (1988),16
595,Breaking the Waves (1996),16
89,Sense and Sensibility (1995),16
969,Ulee's Gold (1997),16
380,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",16
779,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",16
457,Living in Oblivion (1995),16
991,Safe (1995),16
229,Seven (Se7en) (1995),17
734,Clerks (1994),17
337,Ed Wood (1994),17
170,Hoop Dreams (1994),17
351,Reservoir Dogs (1992),17
518,William Shakespeare's Romeo and Juliet (1996),17
500,Smoke (1995),17
797,"Basketball Diaries, The (1995)",17
808,Shallow Grave (1994),17
1219,Hard Eight (1996),17
94,Taxi Driver (1976),18
189,"Godfather, The (1972)",18
371,Swingers (1996),18
157,Contact (1997),18
139,Chasing Amy (1997),18
360,Evita (1996),18
36,Rear Window (1954),18
629,Glory (1989),18
822,Rosencrantz and Guildenstern Are Dead (1990),18
661,When We Were Kings (1996),18
67,Wings of Desire (1987),19
108,Annie Hall (1977),19
767,My Life as a Dog (Mitt liv som hund) (1985),19
411,Orlando (1993),19
1541,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",19
1252,"Fille seule, La (A Single Girl) (1995)",19
1317,Strawberry and Chocolate (Fresa y chocolate) (1993),19
1285,Gabbeh (1996),19
1643,Condition Red (1995),19
1605,King of New York (1990),19
203,What's Eating Gilbert Grape (1993),20
920,"Apartment, The (1960)",20
694,Some Like It Hot (1959),20
428,Bringing Up Baby (1938),20
923,Bananas (1971),20
225,"Streetcar Named Desire, A (1951)",20
763,Meet Me in St. Louis (1944),20
965,Rebecca (1940),20
603,"Blue Angel, The (Blaue Engel, Der) (1930)",20
440,Sophie's Choice (1982),20
59,Angels and Insects (1995),21
595,Breaking the Waves (1996),21
1022,Ridicule (1996),21
522,Shall We Dance? (1996),21
538,Lawrence of Arabia (1962),21
561,Cool Hand Luke (1967),21
902,"Daytrippers, The (1996)",21
828,Giant (1956),21
597,Looking for Richard (1996),21
882,Walkabout (1971),21
351,Reservoir Dogs (1992),22
506,Unforgiven (1992),22
509,"Secret of Roan Inish, The (1994)",22
888,"Deer Hunter, The (1978)",22
581,"Great Dictator, The (1940)",22
411,Orlando (1993),22
1052,Feast of July (1995),22
1153,Catwalk (1995),22
1096,"Stranger, The (1994)",22
1301,Withnail and I (1987),22
462,Strange Days (1995),23
612,Wallace & Gromit: The Best of Aardman Animation (1996),23
317,Full Metal Jacket (1987),23
236,"Grand Day Out, A (1992)",23
844,Vanya on 42nd Street (1994),23
81,Miller's Crossing (1990),23
315,"Crying Game, The (1992)",23
697,Ran (1985),23
1357,Trust (1990),23
1394,Midnight Dancers (Sibak) (1994),23
47,Get Shorty (1995),24
405,"Hudsucker Proxy, The (1994)",24
49,Fargo (1996),24
371,Swingers (1996),24
30,Chasing Amy (1997),24
